1,21,1,MPUの高速化技術の一つであるスーパスカラの特徴として、適切なものはどれか。,同時に実行可能な複数の動作をまとめて一つの命令として実行する。,独立した複数の命令ストリームを用意し、これらの実行を切り替えながら行う。,パイプラインの深さを増すとともに、パイプラインピッチを短くして、平均命令実行時間を短縮する。,パイプラインを複数用意し、同時に複数の命令を実行する。,エ,;
86,24,11,多重割込みを処理するリアルタイムOSの割込みハンドラ処理として、適切なものはどれか。,処理の中断を極力避けるために、先頭で一時的に割込みを可能にした後は割込み禁止状態で処理を行う。,先頭でタイマを設定し、一定期間は割込み禁止状態にして処理を行う。,タスクで行う処理を少なくするために、割込みに起因する多くのタスク処理も割込み可能状態にしたまま割込みハンドラの中で行う。,割込み禁止状態での処理を極力減らして、割込み可能状態で動作する。,エ,;
87,24,12,LED点灯回路の動作として、適切な組合せはどれか。,,,,,ウ,24-12;
88,24,13,PLLのブロック図中のa～cに入れるべき回路の組合せとして、適切なものはどれか。,,,,,イ,24-13;
89,24,14,PC又は組込み機器のクロックジェネレータにSSCG（Spread Spectrum Clock Generator)が用いられることがある。この効果として適切なものはどれか。,クロックからの放射ノイズの影響を低減する。,クロック周期の精度を上げる。,クロックのジッタを抑える。,クロックの波形を正弦波に近づけ高調波を減らす。,ア,;
90,24,15,スイッチのチャタリングを除去する方法のうち、スイッチの変化を最も遅延が少なく読み込めるのはどれか。,CR積分回路でスイッチ信号を受け、シュミットトリガ回路で整形する。,RSフリップフロップでスイッチ信号を受ける。,スイッチが接続された入力ポートの値を2回読み込んで判定する。,ディジタルフィルタで振動成分だけを除去する。,イ,;
91,24,16,エネルギーハーベスティング（環境発電）に用いられる熱電変換素子の説明として、適切なものはどれか。,自然光や人工光のエネルギーを、光起電力効果によって電気エネルギーに変換する。,ゼーベック効果によって、温度差から電気エネルギーを発生する。,素子に照射される赤外線エネルギーの変化を、焦電効果によって検出する。,ピエゾ効果によって、振動などの機械的エネルギーから電気エネルギーを発生する。,イ,;
92,24,17,マイコンを使用し、図に示す回路で8桁の7セグメントLEDを、ダイナミック駆動によって表示する場合、ポートの使い方として適切なものはどれか。ここで、各LEDはカソードコモンとする。,,,,,エ,24-17;
93,24,18,IPv4ネットワークにおけるICMPの機能として、適切なものはどれか。,MACアドレスだけが分かっているときにIPアドレスの解決を可能にする。,グローバルIPアドレスとプライベートIPアドレスを相互に変換する。,送信元ホストへ、IPパケットの送信エラー報告などの制御メッセージを通知する。,ネットワーク内のIPアドレスを一元管理し、クライアントに動的に割り当てる。,ウ,;
94,24,19,ISMS適合性評価制度における情報セキュリティ基本方針に関する記述のうち、適切なものはどれか。,重要な基本方針を定めた機密文書であり、社内の関係者以外の目に触れないようにする。,セキュリティの基本方針を述べたものであり、ビジネス環境や技術が変化しても変更してはならない。,情報セキュリティのための経営陣の方向性及び支持を規定する。,特定のシステムについてリスク分析を行い、そのセキュリティ対策とシステム運用の詳細を記述したものである。,ウ,;
95,24,20,問題解決に際し、状況把握、問題分析、決定分析、潜在的問題分析の四つの思考プロセスがある手法はどれか。,SWOT分析,ケプナートリゴー（KT法）,デルファイ法,ブレーンストーミング,イ,;
96,24,21,UML2.0で使用される表記法のうち、システムの動的な振舞いを記述するために有効なものの組はどれか。,オブジェクト図、クラス図,コミュニケーション図、パッケージ図,コンポーネント図、配置図,シーケンス図、状態マシン図,エ,;
97,24,22,（私の父：公務員）が”私の父は公務員である”というインスタンスとクラスの関係を表すとき、同じ関係となるものはどれか。,(俸給生活者：公務員）,（日本：国）,（私の父：私の母）,(私の部屋：私の家）,イ,;
98,24,23,リアルタイム構造化分析技法に関する記述として、適切なものはどれか。,DFDを用いて、現行の業務をモデル化する。,E-R図を用いて、管理すべきデータの構造を視覚的に表現する。,オブジェクト図を用いて、業務処理の内容を表現する。,変換図を用いて、制御とタイミングを表現する。,エ,;
99,24,24,MISRA-Cの説明として、適切なものはどれか。,可変長配列、複素数型などをサポートする、ISOが制定したC言語の規格,協調設計（コデザイン）でシステムをシミュレートするために使用する、C++を利用したシステム記述言語,車載システムの品質向上を目的に制定された、C言語実装法のガイドライン,スマートフォンの開発などに使用されている、オブジェクト指向の機能をもつC言語の上位互換言語,ウ,;
100,24,25,CMMIの目的として、最も適切なものはどれか。,各種のソフトウェア設計・開発技法を使って開発作業を自動化し、ソフトウェア開発の生産性の向上を図る。,製品やサービスについて、組織が開発と保守のプロセスを改善するのを助ける。,ソフトウェアライフサイクルを、主、支援及び組織に関する三つのライフサイクルプロセスに分けてアクティビティを定め、ソフトウェアプロセスの標準化を図る。,特定の購入者と製作者の間で授受されるソフトウェア製品の品質保証を行い、顧客満足度の向上を図る。,イ,;
101,25,1,ストアドプログラム方式のコンピュータの性能向上を妨げる要因のうち、フォンノイマンボトルネックと呼ばれているものはどれか。,記憶装置の容量,入出力装置のデータ転送能力,プロセッサと記憶装置との間のデータ転送能力,プロセッサの命令処理能力,ウ,;
102,25,2,全てのプロセッサから共有メモリへのメモリアクセス時間が同等なマルチプロセッサアーキテクチャはどれか。,COMA,NORA,NUMA,UMA,エ,;
103,25,3,主記憶へのアクセスを伴う演算命令を実行するとき、命令解読とオペランド読出しの間に行われる動作はどれか。,実効アドレス計算,入出力装置起動,分岐アドレス計算,割込み発生,ア,;
104,25,4,マルチコアプロセッサで用いられるスヌープキャッシュの説明として、適切なものはどれか。,各コアがそれぞれ独立のメモリ空間とキャッシュをもつことによって、コヒーレンシを保つ。,各コアが一つのキャッシュを共有することによって、コヒーレンシを保つ。,共有バスを介して、各コアのキャッシュが他コアのキャッシュの更新状態を管理し、コヒーレンシを保つ。,全てのキャッシュブロックを一元管理するディレクトリを用いて、キャッシュのコヒーレンシを保つ。,ウ,;
105,25,5,多重にハードウェア割込みが発生する組込みシステムにおけるISR（Interrupt Service Routine）の処理の説明のうち、適切なものはどれか。,ISR処理時間が長い順に高い割込み優先度を与えると、システム全体のリアルタイム応答性が向上する。,ISR処理中に、ほかの割込み要求を抑止する場合は、セマフォを用いる。,最大割込み処理時間は、すべてのISR処理時間の合計であり、最も優先度の高い割込みが発生してから、そのISR処理の完了までの時間に相当する。,低い優先度の割込みによるISR処理中に割込み禁止を行うと、その間に発生した高い優先度の割込みに対するISR応答時間は長くなる。,エ,;
106,25,6,ページング方式の仮想記憶において、ページフォールト発生時の動作状況が次の場合に、主記憶の平均アクセス時間が最も改善される対策はどれか。

[ページフォールト発生時の動作状況]
(1) 主記憶アクセス1回の時間は200ナノ秒である。
(2) 主記憶アクセス200万回に1回の割合でページフォールトが発生する。
(3) ページフォールト1回当たり600ミリ秒のオーバヘッドを伴う。,主記憶アクセス1回の時間を1/5に改善する。,主記憶アクセス1回の時間を1/8に改善する。ただし、ページフォールトの発生率は1.1倍となる。,ページフォールト1回当たりのオーバヘッドを1/3に改善する。,ページフォールトの発生率を1/2に改善する。,ウ,;
107,25,7,仮想記憶システムにおいて、ページ置換えアルゴリズムとしてFIFOを採用して、仮想ページ参照列1、4、2、4、1、3を3ページ枠の実記憶に割り当てて処理を行った。表の割当てステップ3までは、仮想ページ参照列中の最初の1、4、2をそれぞれ実記憶に割り当てた直後の実記憶ページの状態を示している。残りを全て参照した直後の実記憶ページの状態を示す太枠部分に該当するものはどれか。,,,,,ウ,25-7;
108,25,8,リアルタイムOSで用いられる、タスクがデッドラインを必ず守るデッドラインスケジューリングでは、周期タスクを図のように次の四つのパラメタr、C、D、T(0＜r+C≦D≦T)の組みで表現することができる。
二つのタスクX、Yをr = 0、D = Tという条件下で生成した場合、スケジュールが可能となるC、Dの組合せはどれか。ここで、タスクはX、Yの順に起動され、優先度はXの方が高い。また、スケジューリングはプリエンプティブ方式であり、OSのオーバヘッドは考慮しない。,,,,,イ,25-8;
109,25,9,JavaEE（Java Platform、Enterprise Edition）の構成要素の一つはどれか。,EAI,JavaScript,Servlet,UDDI,ウ,;
110,25,10,ディスク領域の管理法のうち、索引方式に関する説明として、適切なものはどれか。,1ブロックを1ビットに対応させ、そのブロックが空きか使用中かを0か1で示す方式である。,ファイル名と先頭クラスタ番号をディレクトリで対応させ、各クラスタには次のクラスタの番号を格納する方式である。,ファイルを構成するブロックの位置情報を記録した表をもつ方式である。,ファイルを構成するブロックを先頭から順にポインタでつなぐ方式である。,ウ,;
111,25,11,開発ツールの機能の説明のうち、適切なものはどれか。,インスペクタは、プログラム実行時にデータの内容を表示する。,シミュレータは、プログラム内又はプログラム間の実行経路を表示する。,トレーサは、プログラム単位の機能説明やデータ定義の探索を容易にする。,ブラウザは、文字の挿入、削除、置換などの機能によってプログラムのソースコードを編集する。,ア,;
112,25,12,図に示すPLLがロック状態の場合、出力周波数foutを基準周波数frefで表したものはどれか。ここで、分周器の分周比はNとする。,fref/N,N/fref,1/Nfref,Nfref,エ,25-12;
113,25,13,TSV (Throgh-Silicon Via)を用いた半導体チップの3次元実装技術の説明として、適切なものはどれか。,積層した半導体チップ同士を貫通電極で接続する。,積層した半導体チップ同士をボンディングワイヤで接続する。,絶縁膜上に形成した単結晶シリコンを基板とする。,チップと同程度のサイズでパッケージに封入する。,ア,;
114,25,14,位置決めセンサに用いるインクリメンタルエンコーダの特徴はどれか。,回転方向を知るために出力信号が2相になっている。,機械的位置の絶対値をアナログ値で出力する。,機械的位置の変化量をアナログ値で出力する。,内部に機械的位置の絶対値を保持する機能を備えている。,ア,;
115,25,15,TTLレベルの2入力AND回路を3入力AND回路にするために、入力部に回路を追加した。3入力AND回路として適切なものはどれか。,,,,,ウ,25-15;
116,25,16,マイコンに供給するクロックとシリアル通信ポートに使用するクロックを共用するマイコンシステムがある。クロックを2n分の1に分周するだけで57.6kビット／秒の通信速度を得るためには、マイコンに供給するクロックを何MHzにするのが最も適切か。ここで、シリアル通信ポートのクロックの精度は5％以内に収まればよいものとする。,52,60,66,72,イ,25-16;
117,25,17,論理回路の出力にハザードが発生する原因として、適切なものはどれか。,インピーダンスの不整合による反射,接点のオン、オフで発生する機械振動,素子及び配線の遅延時間のばらつき,並行する信号間で起こる静電誘導,ウ,;
118,25,18,IPアドレスが172.20.100.52/26のときのサブネットマスクはどれか。,255.255.255.0,255.255.255.64,255.255.255.128,255.255.255.192,エ,;
119,25,19,暗号方式のうち、共通鍵暗号方式はどれか。,AES,EIGamal暗号,RSA,楕円曲線暗号,ア,;
120,25,20,論理データモデル作成におけるトップダウンアプローチ、ボトムアップアプローチに関する記述のうち、適切なものはどれか。,トップダウンアプローチでは、新規システムの利用者要求だけに基づいて論理データモデルを作成するので、現状業務の分析は行えない。,トップダウンアプローチでもボトムアップアプローチでも、最終的な論理データモデルは正規化され、かつ、業務上の属性はすべて備えていなければならない。,トップダウンアプローチでもボトムアップアプローチでも、利用者が使用する現状の画面や帳票を素材として分析を行うのは同じである。,ボトムアップアプローチは現状業務の分析に用いるものであり、新規システムの設計ではトップダウンアプローチを使用する。,イ,;
121,25,21,プログラムの誤りの一つに、繰返し処理の終了条件としてA≧aとすべきところをA＞aとコーディングすることがある。このような誤りを見つけ出すために有効なテストケース設計技法はどれか。ここで、Aは変数、aは定数とする。,限界値分析,条件網羅,同値分割,分岐網羅,ア,;
122,25,22,JIS X 0180 では、組込みシステムのソフトウェアコード品質を信頼性、保守性、移植性及び効率性の四つの品質特性に分類して作法を定めている。作法に基づいて作成した組込みシステム開発プロジェクトのコーディング規約のうち、信頼性を意識したものとして適切なものはどれか。ここで、信頼性とはソフトウェアとしての誤った動作をしない、誤動作をしてもソフトウェア全体及びシステム全体の機能動作に影響を及ぼさない、誤作動が発生しても正常動作に速やかに復帰できる性質を指す。,1か所だけから呼び出されるサブルーチンは、インライン展開されるサブルーチンとして記述すること,ハードウェアレジスタから読み出した値を除数として除算を行う前に、値が0でないことを必ず確認すること,ハードウェアレジスタのビット位置を、言語処理系に依存した記法を用いて定義しないこと,ハードウェアレジスタへの設定値のうち、ハードウェアの仕様変更によって値の変更が予想される数値は、コード上に直接数値を記述せずに必ずマクロ表記を用いること,イ,;
123,25,23,図のような階層構造で設計及び実装した組込みシステムがある。このシステムの開発プロジェクトにおいて、ハードウェア及びデバイスドライバ層の単体テスト工程が遅延し、アプリケーション層とミドルウェア層の単体テストが先に終了した。このとき、ソフトウェア結合のテスト方法として適切なものはどれか。,サンドイッチテスト,トップダウンテスト,ビッグバンテスト,ボトムアップテスト,イ,25-23;
124,25,24,共通フレーム2007における妥当性確認プロセスの活動はどれか。,コードが、設計及び要求事項に対して追跡可能であり、要求事項に適合していることを確認する。,代表利用者がソフトウェア製品を使用し、意図した業務が達成できることを確認する。,ハードウェア品目、ソフトウェア品目、手作業が完全かつ正確にシステムとして結合されていることを確認する。,プロジェクトに対して選択されたプロセスが適切で、契約に整合していることを確認する。,イ,;
125,25,25,アジャイルソフトウェア開発などで導入されているペアプログラミングの説明はどれか。,開発工程の初期段階に要求仕様を確認するために、プログラマと利用者がペアとなり、試作した画面や帳票を見て、相談しながらプログラムの開発を行う。,効率よく開発するために、2人のプログラマがペアとなり、メインプログラムとサブプログラムを分担して開発を行う。,短期間で開発するために、2人のプログラマがペアとなり、作業と休憩を交代しながら長期間にわたって連続でプログラムの開発を行う。,品質の向上や知識の共有を図るために、2人のプログラマがペアとなり、その場で相談したりレビューしたりしながら、一つのプログラムの開発を行う。,エ,;
126,26,1,パイプライン制御の特徴はどれか。,複数の命令を同時に実行するために、コンパイラが目的プログラムを生成する段階で、それぞれの命令がどの演算器を使うかをあらかじめ割り振る。,命令が実行される段階で、どの演算器を使うかを動的に決めながら、複数の命令を同時に実行する。,命令の処理をプロセッサ内で複数のステージに細分化し、複数の命令を並列に実行する。,命令を更に細かなマイクロ命令の組合せで実行する。,ウ,;
127,26,2,外部記憶をもたない組込みシステムにおけるMMU (Memory Management Unit) の活用法として、適切なものはどれか。,CPUを介さずにメモリ間データ転送を行うことによって、処理速度を向上させる。,仮想アドレスで主記憶を管理することによって、実装されている物理メモリの容量を超えるメモリ割当てを要求されてもプログラムの動作を継続させる。,入出力レジスタの値をキャッシュすることによって、ハードウェアアクセスを高速化する。,プログラムのメモリ領域へのアクセス権限を設定することによって、不正なメモリアクセスを防止する。,エ,;
128,26,3,磁気ディスク装置と比較したときのフラッシュメモリを用いたSSD (Solid State Drive) の特徴として、適切なものはどれか。,書換え可能回数が多い。,耐衝撃性が低い。,発熱量が大きい。,ランダム読出しが速い。,エ,;
129,26,4,L1、L2の2レベルで構成されるインクルージョンキャッシュの説明として、適切なものはどれか。,L1に格納されている全てのデータはL2にも格納されている。,L1にデータを読み込んだとき、L2にあったデータは削除される。,L1にデータを読み込んだときにL1から追い出されたデータはL2に格納される。,L1には命令語が、L2には演算データだけが格納される。,ア,;
130,26,5,I2C (Inter-Integrated Circuit) バスの特徴として、適切なものはどれか。,2線式のシリアルインタフェースで複数のデバイスを接続する。,4線式のシリアルインタフェースで複数のデバイスを接続する。,低電圧差動伝送を採用して高速化したシリアルインタフェースである。,複数のレーンを束ねることによって高速化したシリアルインタフェースである。,ア,;
131,26,6,コンピュータシステムにおいて、性能改善手法を適用した機能部分の全体に対する割合をR (0,,,,,イ,26-6;
132,26,7,二つのタスクが共用する二つの資源を排他的に使用するとき、デッドロックが発生するおそれがある。このデッドロックの発生を防ぐ方法はどれか。,一方のタスクの優先度を高くする。,資源獲得の順序を両方のタスクで同じにする。,資源獲得の順序を両方のタスクで逆にする。,両方のタスクの優先度を同じにする。,イ,;
133,26,8,ページング方式の仮想記憶において、あるプロセスが仮想アドレス空間全体に対応したページテーブルをもつ場合、ページテーブルに必要な領域の大きさを2^xバイトで表すとすると、xを表す式はどれか。ここで、仮想アドレス空間の大きさは2^Lバイト、ページサイズは2^Nバイト、ページテーブルの各エントリの大きさは2^Eバイトとし、その他の情報については考慮しないものとする。,L + N + E,L + N - E,L - N + E,L - N - E,ウ,;
134,26,9,CPU時間を多く必要とするタスクAと、入出力処理が多くCPU時間をほとんど必要としないタスクBで構成されているシステムがある。このシステムのスループットを高くする方法として、適切なものはどれか。,タスクAとタスクBの優先度を同じにして、一定時間感覚ごとに処理を切り替えることによって平等に処理する。,タスクAとタスクBの優先度を同じにして、先に開始したタスクが終了後に別のタスクを処理する。,タスクAの優先度を高くして、タスクAを優先して処理する。,タスクBの優先度を高くして、タスクBを優先して処理する。,エ,;
135,26,10,コンパイラによる最適化において、オブジェクトコードの所要記憶容量が削減できるものはどれか。,関数のインライン展開,定数の畳込み,ループ内不変式の移動,ループのアンローリング,イ,;
136,26,11,OSS (Open Source Software) における、ディストリビュータの役割はどれか。,OSSやアプリケーションソフトを組み合わせて、パッケージにして提供する。,OSSを開発し、活動状況をWebで公開する。,OSSを稼働用のコンピュータにインストールし、動作確認を行う。,OSSを含むソフトウェアを利用したシステムの提案を行う。,ア,;
137,26,12,アドレス線が10本で、1Mワードの容量をもつDRAMがある。リフレッシュのためにDRAM内の全ROWアドレスを51.2ミリ秒の間に少なくとも1回は選択する必要がある。このときの平均リフレッシュ周期は何マイクロ秒か。,0.049,12.8,50,2560,ウ,;
138,26,13,MPUがもつウェイト機能及びレディ機能の使い方として、適切なものはどれか。,MPUとDMAコントローラとのバス調停を行う。,OSが実行すべきタスクがないときに、MPUをウェイト状態とする。,アクセス速度の遅いメモリにMPUを同期させる。,入出力装置の処理完了をMPUに知らせる。,ウ,;
139,26,14,PWM (パルス幅変調) で変調された信号をアナログ電圧として復調する回路はどれか。,,,,,ア,26-14;
140,26,15,表のインターバルタイマを用いて約20ミリ秒ごとにタイマ割込みを発生させたいとき、16ビットタイマコンペアレジスタに設定する値は10進数で幾つか。ここで、システムロックは32MHzとする。,1,19,1999,19999,エ,26-15;
141,26,16,NFC (Near Field Communication) の説明として、適切なものはどれか。,静電容量式のタッチセンサで、位置情報を検出するために用いられる。,接触式ICカードの通信方法として利用される。,通信距離が最大10m程度である。,ピアツーピアで通信する機能を備えている。,エ,;
142,26,17,操作に不慣れな人も利用するシステムでは、間違ったデータが入力されることが想定される。誤入力が発生しても、プログラムやシステムを異常終了させずに、エラーメッセージを表示して次の操作を促すような設計を何というか。,フールプルーフ,フェールセーフ,フェールソフト,フォールトトレランス,ア,;
143,26,18,並列に動作する事象間の同期を表現することが可能な、ソフトウェアの要求モデルはどれか。,E-Rモデル,データフローモデル,ペトリネットモデル,有限状態機械モデル,ウ,;
144,26,19,ハードウェアとソフトウェアとの協調設計（コデザイン）の説明として、適切なものはどれか。,検証なしでハードウェアとソフトウェアとの切り分けを行い、それぞれ設計を並行して行ってから、完成時に結合テストを行う。,上流設計までハードウェアとソフトウェアとを切り分けずに統一的に設計する。,ハードウェア設計及びソフトウェア設計のステップを細分化し、ステップごとに結合テストを行って検証する。,ハードウェアとソフトウェアとの分担をシミュレーションで検証してから、ハードウェアとソフトウェアの切り分けを行う。,エ,;
145,26,20,エラー埋込み法では、検出したエラー数を測定することによって、その時点での埋込みエラー数を除いた潜在エラー数Tを推定することができる。
Tを求める次の計算式の変数A、B、Cに対応する項目の適切な組合せはどれか。

総エラー数 = A × B / C
T = 総エラー数 - A - (B - C),,,,,イ,26-20;
146,26,21,共通フレームにおける、システム適格性確認テストで確認する内容を明確にするアクティビティはどれか。,システム方式設計,システム要件定義,ソフトウェア方式設計,ソフトウェア要件定義,イ,;
147,26,22,組込みソフトウェアなどの設計にも有効な技法であって、システムをプラットフォームに依存する部分と依存しない部分とに分けてモデル化することを特徴とする技法はどれか。,CSM,MDA,OMT,UML,イ,;
148,26,23,サーバの負荷分散に使われるDNSラウンドロビンに関する記述のうち、適切なものはどれか。,DNSにおいて、一つのIPアドレスに対して複数のサーバ名を割り当てることによって実現する。,DNSにおいて、一つのサーバ名に対して複数のサーバのIPアドレスを割り当てることによって実現する。,接続先サーバがダウンしている場合は、DNSがサーバのダウンを検知して、他のサーバに接続先を変える。,接続先サーバの負荷の状況によって、DNSが接続先を変えることができる。,イ,;
149,26,24,SSLに関する記述のうち、適切なものはどれか。,SSLで使用するWebサーバのディジタル証明書にはIPアドレスの組込みが必須なので、WebサーバのIPアドレスを変更する場合は、ディジタル証明書を再度取得する必要がある。,SSLで使用する個人認証用のディジタル証明書は、ICカードなどに格納できるので、格納場所を特定のPCに限定する必要はない。,SSLはWebサーバを経由した特定の利用者間の通信のために開発されたプロトコルであり、Webサーバ提供者への事前の利用者登録が不可欠である。,日本国内では、SSLで使用する共通鍵の長さは、128ビット未満に制限されている。,イ,;
150,26,25,ICカードの耐タンパ性を高める対策はどれか。,ICカードとICカードリーダとが非接触の状態で利用者を認証して、利用者の利便性を高めるようにする。,故障に備えてあらかじめ作成した予備のICカードを保管し、故障時に直ちに呼びカードに交換して利用者がICカードを使い続けられるようにする。,信号の読出し用プローブの取付けを検出するとICチップ内の保存情報を消去する回路を設けて、ICチップ内の情報を容易に解析できないようにする。,退職者のICカードは業務システム側で利用を停止して、他の利用者が使用できないようにする。,ウ,;
151,27,1,内部割込みの要因として、適切なものはどれか。,DMA転送が完了した。,インターバルタイマが満了した。,演算がオーバフローした。,電源電圧の低下を検出した。,ウ,;
152,27,2,キャッシュメモリに関する記述のうち、適切なものはどれか。,キャッシュメモリの最適容量は、プログラムサイズから求めることができる。,キャッシュメモリの最適容量は、プロセッサの演算速度と主記憶容量から求める,キャッシュメモリのヒット率は、キャッシュメモリの容量とほぼ正比例の関係にある。,キャッシュメモリのヒット率は、プログラムの構造によって変化する。,エ,;
153,27,3,組込みシステムで使用されるI2Cバスの特徴として、適切なものはどれか。,クロックとデータの2線式バスである。,シングルマスタバスである。,データ転送の最高速度は、12Mビット／秒である。,一つのバスに接続されるICは、最大15個と決められている。,ア,;
154,27,4,RAIDの分類において、ミラーリングを用いることで信頼性を高め、生涯発生時には冗長ディスクを用いてデータ復元を行う方式はどれか。,RAID1,RAID2,RAID3,RAID4,ア,;
155,27,5,ZigBeeの説明として、適切なものはどれか。,携帯電話などのモバイル端末とヘッドセットなどの周辺機器とを接続するための近距離の無線通信として使われる。,赤外線を利用して実現される無線通信であり、テレビ、エアコンなどのリモコン、携帯電話間のデータ通信などに使われる。,低消費電力で低速の通信を行い、センサネットワークとして使われる,連絡用、業務用などに利用される小型の携帯型トランシーバに使われる。,ウ,;
156,27,6,信頼性ブロック図の説明として、適切なものはどれか。,システムで発生する欠陥数の累計を時系列に示したものであり、その傾向から将来の欠陥数を指定することができる。,システムを構成する各要素の故障が、システム全体へ影響するかどうかを示したものである。,信頼性又は安全性の面から、発生が好ましくない事象について、その発生経路、発生原因及び発生確率をフォールトの木として示したものである。,設計の不完全性及び潜在的な欠陥を見いだすために、構成要素の故障モードとその上位アイテムへの影響を示したものである。,イ,;
157,27,7,優先度に基づくスケジューリングを行うリアルタイムOSを用いたシステムで、タスクの状態遷移を計測したところ、図の結果を得た。タスクが待ち、実行可能、実行の三つの状態をもつとき、(A)、(B)、(C)に当てはまるタスクの状態の組合せとして、適切なものはどれか。,,,,,エ,27-7;
158,27,8,ページング方式の仮想記憶において、ページ置換えアルゴリズムにLRU方式を採用した場合、ページの参照順序が1、2、3、2、3、1、4、2、4、3、1であるプログラムを実行するとき、ページの読込みは何回発生するか。ここで、主記憶のページ枠は3で、初期状態では主記憶にどのページも存在しないものとする。,4,5,6,7,エ,;
159,27,9,多重割込みを処理するリアルタイムOSの割込みハンドラの説明として、適切なものはどれか。,処理の中断を極力避けるために、先頭で一時的に割込みを可能にした後は割込み禁止状態で処理を行う。,先頭でタイマを設定し、一定期間は割込み禁止状態にして処理を行う。,タスクで行う処理を少なくするために、割込みに起因する多くの処理は割込み可能状態にしたまま、割込みハンドラの中で行う。,割込み禁止状態での処理を極力減らして、割込み可能状態で動作する。,エ,;
160,27,10,優先度に基づくプリエンプティブなスケジューリングで動作する、二つの周期タスクA、Bがある。AはBよりも優先度が高く、周期は2ミリ秒、実行時間は1ミリ秒である。Bの周期が10ミリ秒のとき、1周期中に実行を完了できるBの実行時間は最大何ミリ秒か。ここで、A、B以外のタスクはなく、タスク切替えによるオーバヘッドはないものとする。,3,5,7,9,イ,;
161,27,11,サーバでの実行を前提とした、オブジェクト指向技術に基づいたコンポーネントソフトウェアの仕様はどれか。,EAI (Enterprise Application Integration),EJB (Enterprise JavaBeans),ERP (Enterprise Resource Planning),UML (Unified Modeling Language),イ,;
162,27,12,DCモータにおけるPWM制御方法はどれか。,パルス周期によって、モータの回転角を制御する。,パルス数によって、モータの回転角を制御する。,パルス数によって、モータの回転数を制御する。,パルスのデューティ比によって、モータの回転数を制御する。,エ,;
163,27,13,図に示すPLLがロック状態の場合、出力周波数foutを基準周波数frefで表したものはどれか。ここで、分周期の分周比はNとする。,fref/N,N/fref,1/Nfref,Nfref,エ,27-13;
164,27,14,プログラムと定数をROMから読み出すために、アドレスバスとチップセレクト信号(CS)を図のように接続した。アドレスバスはA0がLSBである。このROMにアクセスできるメモリアドレスの範囲はどれか。ここで、解答群の数値は16進数で表記してある。,0000 〜 1FFFF,4000 〜 7FFF,4000 〜 FFFF,C000 〜 FFFF,ウ,27-14;
165,27,15,マイコンに供給するクロックとシリアル通信ポートに使用するクロックを共用するマイコンシステムがある。クロックを2n分の1に分周するだけで57.6kビット／秒の通信速度を得るためには、マイコンに供給するクロックを何MHzにするのが最も適切か。ここで、シリアル通信ポートのクロックの精度は5%以内に収まればよいものとする。,52,60,66,72,イ,27-15;
166,27,16,図に示す反転増幅器の電圧ゲインはどれか。ここで、図の演算増幅器は理想的な演算増幅器とする。,-(1+R1/R3),-(1+R2/R1),-R2/(R1+R3),-R2/R1,エ,27-16;
167,27,17,PPPの説明として、適切なものはどれか。,電子メールのメッセージ交換を行う簡易メール転送プロトコルである。,認証機能や圧縮機能をもち、2点間を接続する通信プロトコルである。,ネットワーク間のファイル転送をTCP上で行うプロトコルである。,ネットワーク内のIPアドレスを一元管理し、動的にIPアドレスを割り当てるプロトコルである。,イ,;
168,27,18,共通鍵暗号方式において、100人の送受信者のそれぞれが、相互に暗号化通信を行うときに必要な共通鍵の総数は幾つか。,200,4950,9900,10000,イ,;
169,27,19,テンペスト技術の説明とその対策として、適切なものはどれか。,ディスプレイなどから放射される電磁波を傍受し、表示内容などを盗み見る技術であり、その対策としては、電磁波を遮断する。,データ通信の途中でパケットを横取りし、内容を改ざんする技術であり、その対策としては、ディジタル署名を利用して改ざんを検知する。,マクロウイルスにおいて使われる技術であり、その対策としては、ウイルス対策ソフトを導入し、最新の定義ファイルを適用する。,無線LANの信号を傍受し、通信内容を解析する技術であり、その対策としては、通信パケットを暗号化する。,ア,;
170,27,20,共通フレームによれば、システム要件の評価タスクにおいて見極めることはどれか。,システム要件とシステム方式との間に一貫性があるかどうか。,システム要件とシステム方式との関連が追跡できるかどうか。,システム要件を満たすシステム方式設計が実現可能かどうか。,ソフトウェア品目が割り当てられたシステム要件を満たすかどうか。,ウ,;
171,27,21,マイコンのJTAGを利用したデバッグ手法の説明として、適切なものはどれか。,ROMにデバッグ対象プログラムを制御するプログラムを格納させておき、PCと当該ROMが搭載されているボードとをシリアル通信で接続して、デバッグを行う。,ROMをモニタプログラム内蔵のRAMに置き換え、デバッグ対象プログラムが格納されたROMを模擬しながらデバッグを行う。,ボード上のマイコン用のICソケットに当該マイコンを模擬する装置を接続して、デバッグを行う。,マイコンの端子を通して、外部からマイコン内蔵のデバッグ支援機能を操作し、デバッグを行う。,エ,;
172,27,22,MISRA-Cの説明として、適切なものはどれか。,オブジェクト指向の機能をもち、スマートフォンの開発などの使用されている、C言語の上位互換言語,可変長配列、複素数型などをサポートする、ISOが制定したC言語の規格,協調設計(コデザイン)でシステムをエミュレートするために使用する、C++を利用したシステム記述言語,車載システムの品質向上を目的に制定された、C言語実装法のガイドライン,エ,;
